product_id,product_name,brand_name,secondary_category,rating,reviews,loves_count
P501404,Rapid Repair Hair Mask,BondiBoost,Hair Styling & Treatments,4.9937,158.0,6772
P483676,Himalayan Salt & Rosewater Candle,NEST New York,Candles & Home Scents,4.9841,63.0,2304
P505019,Main Squeeze Beauty Sponge and Cleanser Set,beautyblender,Value & Gift Sets,4.9825,57.0,2892
P504027,Heavenly Hydration Hair Mask,BondiBoost,Hair Styling & Treatments,4.9818,110.0,1549
P502075,Sparkling Cuvee Glass Jar Candle,VOLUSPA,Candles & Home Scents,4.9648,142.0,1829
P476676,Youth Reformer Firming Vitamin C Oil Serum,FaceGym,Treatments,4.9623,53.0,3104
P504902,Splash Salve In-Shower Body Moisture Treatment,Hanni,Body Moisturizers,4.9623,53.0,2855
P475069,Blonde Baby Hydrating Toning Purple Conditioner,BondiBoost,Shampoo & Conditioner,4.9518,228.0,2632
P504016,Mini Evening Primrose + Green Tea Algae Retinol Face Oil,MARA,Moisturizers,4.9487,78.0,1039
P504031,Evening Primrose + Green Tea Algae Retinol Face Oil,MARA,Moisturizers,4.9487,78.0,940
P504009,Frizz Fix Serum,BondiBoost,Hair Styling & Treatments,4.9412,119.0,1244
P505338,Pore Perfecting Liquid Exfoliator with 2% BHA + Borage,alpyn beauty,Cleansers,4.9231,91.0,654
P502212,SinglePass Curl ¾” Professional Curling Iron,T3,Tools,4.9216,51.0,1522
P500714,Elixir Hair Oil Treatment with Castor Oil,BondiBoost,Hair Styling & Treatments,4.9211,266.0,9613
P502161,Lucea 1 ½” Professional Straightening and Styling Iron,T3,Tools,4.9179,195.0,4440
